epcho,loss,acc
1,0.8724103,0.771875
2,0.7069019,0.809375
3,0.74883986,0.803125
4,0.9988965,0.765625
5,0.73754746,0.78125
6,1.0294644,0.75
7,0.70960444,0.8125
8,0.7878274,0.76875
9,0.8110323,0.75625
10,0.6203471,0.775
11,0.7688747,0.765625
12,0.7258636,0.765625
13,0.7679194,0.7625
14,0.9068117,0.715625
15,0.8264183,0.7
16,0.74924594,0.71875
17,0.61791223,0.765625
18,0.7998315,0.6875
19,0.7062518,0.7375
20,0.83028173,0.690625
21,0.6275292,0.778125
22,0.6672676,0.7375
23,0.7415842,0.75
24,0.77507913,0.746875
25,0.5682702,0.7875
26,0.69903404,0.75
27,0.67937195,0.7375
28,0.618618,0.78125
29,0.65147644,0.746875
30,0.83930033,0.73125
31,0.58370245,0.771875
32,0.66167283,0.75625
33,0.7095096,0.715625
34,0.662461,0.74375
35,0.71582866,0.721875
36,0.6533412,0.75625
37,0.5947927,0.778125
38,0.55907047,0.778125
39,0.50567377,0.825
40,0.5823308,0.803125
41,0.45188397,0.79375
42,0.53125,0.79375
43,0.6802437,0.753125
44,0.5174592,0.8
45,0.5568918,0.825
46,0.52865744,0.815625
47,0.5762444,0.78125
48,0.59872544,0.775
49,0.47998857,0.825
50,0.47258693,0.821875
51,0.5363628,0.784375
52,0.5739935,0.7375
53,0.5031874,0.80625
54,0.5099787,0.803125
55,0.57616884,0.765625
56,0.50939214,0.790625
57,0.60550916,0.75625
58,0.5812402,0.775
59,0.4596463,0.803125
60,0.47173405,0.79375
61,0.63802004,0.753125
62,0.5363046,0.79375
63,0.4267273,0.840625
64,0.55611944,0.8125
65,0.47307053,0.821875
66,0.45533815,0.828125
67,0.6005688,0.7625
68,0.5144552,0.8
69,0.4249363,0.828125
70,0.5413312,0.796875
71,0.42574316,0.83125
72,0.5355135,0.78125
73,0.52953684,0.7875
74,0.5147591,0.8
75,0.43579596,0.825
76,0.56652325,0.76875
77,0.50984377,0.821875
78,0.4377629,0.8375
79,0.46026072,0.828125
80,0.4626062,0.821875
81,0.5018093,0.825
82,0.40366507,0.853125
83,0.40764093,0.859375
84,0.53996354,0.79375
85,0.48697108,0.83125
86,0.46782905,0.8
87,0.5215703,0.796875
88,0.6654302,0.725
89,0.4956325,0.8
90,0.46528435,0.8375
91,0.5026001,0.803125
92,0.48420253,0.809375
93,0.5187432,0.7875
94,0.4523347,0.83125
95,0.4707912,0.821875
96,0.4308757,0.85
97,0.4255711,0.834375
98,0.56521785,0.775
99,0.45139232,0.825
100,0.57362795,0.7625
101,0.4409884,0.81875
102,0.45581904,0.8125
103,0.43378195,0.825
104,0.49698886,0.815625
105,0.40636054,0.85625
106,0.46367902,0.81875
107,0.42314824,0.853125
108,0.55724514,0.771875
109,0.4184813,0.840625
110,0.52124226,0.803125
111,0.44961149,0.828125
112,0.5198286,0.76875
113,0.52811736,0.771875
114,0.46473312,0.8
115,0.43164006,0.834375
116,0.41363263,0.853125
117,0.47307712,0.796875
118,0.46262485,0.809375
119,0.39565808,0.85625
120,0.5072985,0.825
121,0.48773375,0.8
122,0.50115126,0.79375
123,0.4763256,0.828125
124,0.48797607,0.815625
125,0.488396,0.790625
126,0.4344171,0.825
127,0.4045759,0.853125
128,0.4218297,0.83125
129,0.3794819,0.871875
130,0.431969,0.85
131,0.4631608,0.815625
132,0.5094827,0.796875
133,0.4177699,0.8375
134,0.4723873,0.815625
135,0.49916965,0.80625
136,0.49481145,0.815625
137,0.48407012,0.809375
138,0.42660493,0.834375
139,0.41877356,0.8375
140,0.4679644,0.809375
141,0.40945596,0.8375
142,0.42700118,0.85625
143,0.46734753,0.834375
144,0.42075348,0.84375
145,0.42531157,0.84375
146,0.53155017,0.775
147,0.56660706,0.778125
148,0.5252818,0.790625
149,0.490493,0.828125
150,0.39510116,0.8625
151,0.4502007,0.81875
152,0.47042403,0.815625
153,0.40203547,0.84375
154,0.4261794,0.84375
155,0.52659595,0.778125
156,0.45294136,0.828125
157,0.42479247,0.834375
158,0.5971449,0.725
159,0.43418422,0.828125
160,0.42005786,0.84375
161,0.42320576,0.834375
162,0.5174297,0.80625
163,0.47613335,0.803125
164,0.41322535,0.846875
165,0.36900377,0.88125
166,0.477534,0.821875
167,0.5071209,0.796875
168,0.4731019,0.81875
169,0.44850063,0.8125
170,0.4512669,0.825
171,0.44339675,0.821875
172,0.4801275,0.809375
173,0.43426782,0.83125
174,0.35811332,0.878125
175,0.50761205,0.809375
176,0.49673247,0.80625
177,0.4356598,0.83125
178,0.5579316,0.7625
179,0.37129363,0.86875
180,0.3315987,0.875
181,0.4339591,0.8375
182,0.45136532,0.828125
183,0.4856493,0.815625
184,0.43282905,0.825
185,0.4618973,0.80625
186,0.4117879,0.84375
187,0.50786054,0.7875
188,0.50641984,0.790625
189,0.43526405,0.834375
190,0.4147211,0.840625
191,0.43509465,0.85
192,0.5359211,0.7625
193,0.41083747,0.85625
194,0.41690406,0.834375
195,0.4325382,0.83125
196,0.48226768,0.8125
197,0.42883387,0.821875
198,0.51305324,0.784375
199,0.45051247,0.821875
200,0.4561475,0.828125
201,0.44715148,0.825
202,0.52844626,0.784375
203,0.35296515,0.871875
204,0.44544584,0.815625
205,0.40058023,0.865625
206,0.47724375,0.796875
207,0.44020787,0.834375
208,0.45876208,0.825
209,0.47002202,0.828125
210,0.45579013,0.825
211,0.5101409,0.778125
212,0.43252778,0.83125
213,0.4781909,0.80625
214,0.5168508,0.784375
215,0.4185726,0.86875
216,0.42344016,0.840625
217,0.39262325,0.871875
218,0.47235098,0.80625
219,0.4663271,0.8
220,0.36802155,0.878125
221,0.43134767,0.83125
222,0.49781314,0.815625
223,0.4986969,0.796875
224,0.47572702,0.809375
225,0.36522716,0.84375
226,0.41601688,0.834375
227,0.45755672,0.825
228,0.4623734,0.803125
229,0.48495048,0.79375
230,0.39896268,0.853125
231,0.46196383,0.815625
232,0.41846007,0.825
233,0.4699666,0.8
234,0.47683325,0.8
235,0.46495685,0.809375
236,0.42729512,0.85
237,0.42216796,0.828125
238,0.4760248,0.809375
239,0.41126338,0.834375
240,0.45166236,0.825
241,0.41111723,0.8375
242,0.49101734,0.809375
243,0.5071198,0.784375
244,0.48878735,0.7875
245,0.41508865,0.85
246,0.4494912,0.81875
247,0.48969355,0.7875
248,0.46172148,0.81875
249,0.4148651,0.85625
250,0.4761017,0.803125
251,0.41397056,0.853125
252,0.40266222,0.8375
253,0.40535623,0.846875
254,0.39236277,0.846875
255,0.4934179,0.81875
256,0.4230663,0.840625
257,0.45897332,0.815625
258,0.36976695,0.85625
259,0.4430662,0.809375
260,0.43681115,0.821875
261,0.37538707,0.859375
262,0.43351322,0.83125
263,0.43955636,0.834375
264,0.4384741,0.81875
265,0.51536006,0.790625
266,0.42136946,0.846875
267,0.44879824,0.83125
268,0.45734644,0.815625
269,0.43248993,0.81875
270,0.56381845,0.74375
271,0.47850043,0.803125
272,0.47693124,0.8
273,0.37120977,0.875
274,0.3887252,0.85625
275,0.40218335,0.8375
276,0.49227446,0.78125
277,0.42096195,0.834375
278,0.46256763,0.8125
279,0.5205285,0.78125
280,0.35403028,0.865625
281,0.49969602,0.7875
282,0.41715592,0.8375
283,0.38956362,0.846875
284,0.4048637,0.846875
285,0.42918006,0.79375
286,0.41340408,0.834375
287,0.45175356,0.796875
288,0.4586172,0.809375
289,0.42506695,0.81875
290,0.43680644,0.8125
291,0.43620902,0.825
292,0.34223303,0.875
293,0.4223923,0.821875
294,0.41298944,0.846875
295,0.37777454,0.8375
296,0.5179404,0.78125
297,0.4129572,0.834375
298,0.3865621,0.859375
299,0.41367048,0.83125
300,0.44160604,0.8
301,0.44251275,0.809375
302,0.45861474,0.7875
303,0.38559264,0.853125
304,0.39895326,0.8375
305,0.35283917,0.85
306,0.38517648,0.84375
307,0.4172204,0.83125
308,0.38477162,0.840625
309,0.4139142,0.825
310,0.3501309,0.859375
311,0.4640459,0.790625
312,0.3740466,0.846875
313,0.42325774,0.83125
314,0.41616026,0.828125
315,0.41806704,0.83125
316,0.4409648,0.78125
317,0.43426937,0.803125
318,0.38061422,0.853125
319,0.38661522,0.83125
320,0.37331942,0.85
321,0.4656391,0.8
322,0.3565666,0.85625
323,0.40753976,0.821875
324,0.3747569,0.85625
325,0.37363023,0.85
326,0.35981622,0.8625
327,0.389998,0.825
328,0.35556346,0.865625
329,0.39878866,0.815625
330,0.34995157,0.85
331,0.39912477,0.83125
332,0.3313818,0.8625
333,0.3706841,0.83125
334,0.3372849,0.85
335,0.32721612,0.86875
336,0.4494397,0.80625
337,0.34556445,0.846875
338,0.3757365,0.846875
339,0.38014048,0.8375
340,0.35813817,0.859375
341,0.36985463,0.83125
342,0.4420518,0.8
343,0.4085061,0.821875
344,0.3534434,0.853125
345,0.33492145,0.83125
346,0.3868845,0.840625
347,0.3409272,0.85
348,0.3281098,0.871875
349,0.31760502,0.859375
350,0.3128181,0.846875
351,0.38612717,0.84375
352,0.36326343,0.840625
353,0.31476244,0.875
354,0.3861616,0.828125
355,0.38738918,0.834375
356,0.35523432,0.8625
357,0.34967119,0.846875
358,0.34823412,0.846875
359,0.33093974,0.86875
360,0.4379529,0.8
361,0.41366944,0.821875
362,0.34936154,0.86875
363,0.3869382,0.81875
364,0.32978916,0.865625
365,0.35856396,0.859375
366,0.35847312,0.834375
367,0.34711722,0.853125
368,0.29006132,0.88125
369,0.3346916,0.8625
370,0.32266337,0.846875
371,0.3386808,0.8625
372,0.39757323,0.825
373,0.30589756,0.878125
374,0.346522,0.85
375,0.34931493,0.85
376,0.35490966,0.84375
377,0.30850434,0.878125
378,0.30468878,0.8875
379,0.32020777,0.88125
380,0.31512102,0.8625
381,0.31252614,0.871875
382,0.30898052,0.865625
383,0.40999097,0.809375
384,0.37631124,0.825
385,0.3564589,0.828125
386,0.29701024,0.88125
387,0.32386667,0.85625
388,0.3772837,0.825
389,0.3846554,0.83125
390,0.3266293,0.86875
391,0.3373878,0.853125
392,0.32646963,0.88125
393,0.3237478,0.853125
394,0.3195646,0.878125
395,0.2606622,0.871875
396,0.38849285,0.825
397,0.30134982,0.878125
398,0.30857295,0.86875
399,0.27962244,0.871875
400,0.32841188,0.85
401,0.29992485,0.896875
402,0.3569287,0.85
403,0.23131946,0.90625
404,0.3141426,0.853125
405,0.28970012,0.8625
406,0.33586797,0.840625
407,0.28371996,0.8875
408,0.31685084,0.84375
409,0.31252366,0.875
410,0.28396773,0.890625
411,0.30014032,0.8875
412,0.27154016,0.90625
413,0.23295411,0.909375
414,0.36402538,0.85625
415,0.3239556,0.853125
416,0.2839947,0.878125
417,0.27161655,0.8625
418,0.25548753,0.903125
419,0.2678619,0.890625
420,0.30910978,0.90625
421,0.26984945,0.884375
422,0.3069153,0.871875
423,0.26756468,0.890625
424,0.28562492,0.88125
425,0.2627069,0.925
426,0.28660202,0.89375
427,0.28354803,0.871875
428,0.23775944,0.909375
429,0.28892797,0.884375
430,0.24560288,0.8875
431,0.26793402,0.8875
432,0.2633565,0.8625
433,0.302732,0.878125
434,0.2705379,0.884375
435,0.32089365,0.85
436,0.2792302,0.9125
437,0.2921099,0.8875
438,0.28426003,0.903125
439,0.26634791,0.903125
440,0.24158649,0.90625
441,0.24235144,0.89375
442,0.25158507,0.884375
443,0.21483862,0.909375
444,0.25681326,0.903125
445,0.290363,0.88125
446,0.27592725,0.878125
447,0.21891148,0.925
448,0.27371314,0.890625
449,0.26419744,0.9125
450,0.305954,0.85625
451,0.2690526,0.884375
452,0.24771285,0.9
453,0.21666436,0.9125
454,0.26995572,0.865625
455,0.2719563,0.878125
456,0.28160602,0.86875
457,0.24674201,0.9125
458,0.25961795,0.903125
459,0.24209186,0.909375
460,0.28286615,0.9
461,0.23603916,0.909375
462,0.2644228,0.878125
463,0.24736392,0.890625
464,0.22448115,0.903125
465,0.31772655,0.85
466,0.23133025,0.896875
467,0.23554377,0.9125
468,0.23391736,0.90625
469,0.23819757,0.909375
470,0.27541304,0.878125
471,0.2684261,0.90625
472,0.23684946,0.91875
473,0.21581598,0.91875
474,0.25107288,0.90625
475,0.2373497,0.9
476,0.21228747,0.91875
477,0.251609,0.890625
478,0.24524972,0.90625
479,0.2018272,0.91875
480,0.29295492,0.86875
481,0.2106756,0.94375
482,0.25035325,0.903125
483,0.25134844,0.9125
484,0.21558806,0.909375
485,0.23448543,0.921875
486,0.26365972,0.884375
487,0.20952007,0.940625
488,0.1971396,0.9375
489,0.18335982,0.921875
490,0.23272839,0.91875
491,0.20609136,0.928125
492,0.25908247,0.89375
493,0.21173525,0.91875
494,0.21104857,0.928125
495,0.21067505,0.90625
496,0.19074401,0.9375
497,0.17036252,0.95625
498,0.19640572,0.925
499,0.1890625,0.921875
500,0.2374597,0.9
501,0.20055303,0.93125
502,0.2503737,0.89375
503,0.23261805,0.9125
504,0.21426812,0.925
505,0.21458006,0.925
506,0.21955888,0.91875
507,0.20757344,0.925
508,0.19445641,0.909375
509,0.19206299,0.9125
510,0.21598744,0.90625
511,0.22325042,0.915625
512,0.18868576,0.93125
513,0.20723219,0.915625
514,0.21438351,0.93125
515,0.19375582,0.934375
516,0.1775134,0.959375
517,0.22483027,0.90625
518,0.23003864,0.909375
519,0.18776031,0.925
520,0.19562827,0.928125
521,0.19719572,0.921875
522,0.1724629,0.925
523,0.19544664,0.925
524,0.22256193,0.89375
525,0.2387586,0.90625
526,0.17203267,0.95625
527,0.16958243,0.9375
528,0.16797832,0.953125
529,0.20598094,0.925
530,0.16203503,0.959375
531,0.21481772,0.915625
532,0.18585733,0.925
533,0.19800447,0.925
534,0.21039435,0.9125
535,0.19688903,0.90625
536,0.19527522,0.925
