epcho,loss,acc
1,2.4053159,0.453125
2,2.4169414,0.446875
3,2.3956246,0.45625
4,2.4945753,0.425
5,2.3679557,0.45625
6,2.2655938,0.4625
7,2.2639623,0.45
8,2.285693,0.45
9,2.1105494,0.453125
10,1.9950453,0.484375
11,1.9454362,0.475
12,1.7759571,0.484375
13,1.6066144,0.509375
14,1.5360959,0.540625
15,1.488033,0.55
16,1.3959373,0.553125
17,1.2755266,0.55625
18,1.0449595,0.6375
19,1.1733595,0.590625
20,1.0739114,0.653125
21,0.90570927,0.7125
22,0.847098,0.7375
23,0.85687053,0.7375
24,1.0017749,0.703125
25,0.8543534,0.78125
26,0.9820533,0.734375
27,0.7923993,0.775
28,0.765927,0.790625
29,0.7442799,0.796875
30,0.5698917,0.8125
31,0.75670564,0.796875
32,0.9638134,0.771875
33,0.7813214,0.803125
34,0.7349204,0.8
35,0.7613255,0.7875
36,0.6223181,0.834375
37,0.89955676,0.76875
38,0.6764723,0.80625
39,0.8443427,0.771875
40,0.73482436,0.771875
41,0.695121,0.75625
42,0.74632025,0.784375
43,0.7477096,0.740625
44,0.7027531,0.746875
45,0.8106386,0.71875
46,0.6934865,0.7375
47,0.6125369,0.74375
48,0.66811544,0.7375
49,0.6759919,0.728125
50,0.66468704,0.759375
51,0.7800412,0.74375
52,0.6938276,0.7625
53,0.57891023,0.76875
54,0.60994065,0.740625
55,0.5970974,0.775
56,0.4968008,0.796875
57,0.6347567,0.765625
58,0.54060996,0.771875
59,0.73180944,0.7375
60,0.6734543,0.75
61,0.6212368,0.740625
62,0.6106178,0.775
63,0.5530097,0.80625
64,0.56894225,0.778125
65,0.6064998,0.76875
66,0.5251882,0.778125
67,0.57693386,0.79375
68,0.587441,0.7625
69,0.4525199,0.828125
70,0.49563256,0.79375
71,0.53488314,0.778125
72,0.5037445,0.809375
73,0.65361357,0.7625
74,0.5987078,0.765625
75,0.5704684,0.79375
76,0.52168524,0.8
77,0.4662487,0.8125
78,0.47728747,0.815625
79,0.5675495,0.771875
80,0.53142685,0.8125
81,0.50973547,0.809375
82,0.48554245,0.8
83,0.45924157,0.81875
84,0.5424517,0.775
85,0.50616425,0.7875
86,0.42590553,0.80625
87,0.510523,0.803125
88,0.5460302,0.771875
89,0.4887999,0.80625
90,0.3810702,0.85
91,0.37440094,0.86875
92,0.52627295,0.803125
93,0.5365869,0.78125
94,0.38373345,0.85625
