GENIUS Ultimate Anti-Aging Eye Cream,"水 辛酸/癸酸三酸甘油酯, 辛酸/癸酸甘油三酯, ... 甘油, 丙三醇 乳油木果脂, 雪亚脂, 乳木果, 乳油木, ... 氢化聚异丁烯 暂无 硅灵, 地美司康, 二甲基硅酮, 二甲硅油, ... 甘油硬脂酸, 硬脂酸甘油酯, 甘油硬脂酸酯 PEG-100 硬脂酸酯 棕榈醇, 鲸蜡硬脂醇 鲸蜡醇, 棕榈醇, 十六醇, 16醇, ... 戊二醇, 1, 2-戊二醇 硅石, 石英, 二氧化硅 暂无 藻提取 棕榈酰低聚肽, 棕榈酰寡肽 四胜肽棕榈酸酯, 棕榈酰四肽-3 铜赖氨酸/脯氨酸 磷酸甲基葡萄糖苷 合欢花提取 非洲吊灯树果提取 长叶车前叶提取 白杨素 吡喃葡糖苷 咯烷酮羧酸钠, 钠羟基皮酪烷酮, PCA 钠 明串球菌/萝蔔根发酵产物滤液 硬脂酸, 18酸, 十八酸, 己基癸醇硬脂酸酯 鲸蜡硬脂醇聚醚-20, 鲸蜡硬脂醇醚-20 辛乙二醇, 辛甘醇, 1, 2-辛二醇 硬脂醇聚醚-20, 硬脂醇聚氧乙烯醚(20) 丙烯酸/C10-30烷基丙烯酸聚合物, ... 丁二醇, 1, 3-丁二醇 苯甲酸钠, 安息香酸钠 山梨酸钾, 己二稀酸钾, 己二烯酸钾 黄原胶, 三仙胶, 山羊胶, 汉生胶 氯己定二葡糖酸盐, 洗必泰葡萄糖酸 N-羟基琥珀酼亚胺 氯苯甘醚 柠檬酸钠, 枸橼酸钠 乙二胺四乙基二钠, 乙酸乙二胺二钠 柠檬酸 氢氧化钠 苯氧乙醇, 苯氧基乙醇, 二苯氧基乙醇 "
Regenerative Anti-Aging Moisturizer,"水 辛酸/癸酸三酸甘油酯, 辛酸/癸酸甘油三酯, ... 丁二醇, 1, 3-丁二醇 硅灵, 地美司康, 二甲基硅酮, 二甲硅油, ... 戊二醇, 1, 2-戊二醇 乳油木果脂, 雪亚脂, 乳木果, 乳油木, ... 硬脂酸己六酯, 山梨坦硬脂酸酯 甘油, 丙三醇 甘油硬脂酸, 硬脂酸甘油酯, 甘油硬脂酸酯 PEG-100 硬脂酸酯 白芒花籽油 二-C12-15 烷醇富马酸酯, ... 暂无 苹果粹取物 今丝竹, 银竹, 泰山竹, 黄金间碧竹, ... 四胜肽, 乙酰基四肽 豌豆 绿花恩南蕃茄树皮提取 翅菜 维他命C磷酸钠盐, 抗坏血酸磷酸酯钠 生物素, 维生素H, 维生素B7, 辅酶R 氨基葡糖 HCL, 葡糖胺 HCL 蓝桉叶油 麦角硫因, 麦硫因 齐墩果酸, 石竹素 鲸蜡醇, 棕榈醇, 十六醇, 16醇, ... 聚二甲基硅氧烷 PEG-10/15 交联聚合物 硬脂酸, 18酸, 十八酸, 己基癸醇硬脂酸酯 卡波莫, 卡波姆, 聚羧乙烯, 卡波树脂 黄原胶, 三仙胶, 山羊胶, 汉生胶 卵燐脂, 卵磷脂, 磷脂酰胆硷 木蜜醇, 甘露醇, 甘露糖醇 ... 乙二胺四乙基二钠, 乙酸乙二胺二钠 辛乙二醇, 辛甘醇, 1, 2-辛二醇 乙基己基甘油 氨甲基丙醇 己二醇 苯氧乙醇, 苯氧基乙醇, 二苯氧基乙醇 "
Overnight Restorative Cream,"水 异硬脂酸盐, 异硬脂酸异丙酯 乳油木果脂, 雪亚脂, 乳木果, 乳油木, ... 甘油, 丙三醇 硬脂酸, 18酸, 十八酸, 己基癸醇硬脂酸酯 角鲨烷 丁二醇, 1, 3-丁二醇 硅灵, 地美司康, 二甲基硅酮, 二甲硅油, ... 甘油硬脂酸SE, 甘油硬脂酸酯 SE 棕榈醇, 鲸蜡硬脂醇 聚二甲基硅氧烷共聚物, 聚二甲基硅氧烷交联聚合物, ... 维他命C配糖体, 维生素C醣甘, 维他命C醣甘, ... 戊二醇, 1, 2-戊二醇 暂无 藻提取 醋酸盐维他命E, 醋酸生育酚酯, 生育酚醋酸酯, ... 齐墩果酸, 石竹素 棕榈酰低聚肽, 棕榈酰寡肽 四胜肽棕榈酸酯, 棕榈酰四肽-3 苹果粹取物 绿花恩南蕃茄树皮提取 海茴香提取 水飞蓟籽油 辛酸/癸酸三酸甘油酯, 辛酸/癸酸甘油三酯, ... 鲸蜡硬脂醇聚醚-20, 鲸蜡硬脂醇醚-20 丙烯酸/C10-30烷基丙烯酸聚合物, ... 氢氧化钠 辛乙二醇, 辛甘醇, 1, 2-辛二醇 氢化植物油 己二醇 苯氧乙醇, 苯氧基乙醇, 二苯氧基乙醇 乙二胺四乙基二钠, 乙酸乙二胺二钠 香料, 香水, 香精, 香味 咯烷酮羧酸钠, 钠羟基皮酪烷酮, PCA 钠 卡波莫, 卡波姆, 聚羧乙烯, 卡波树脂 聚山梨醇酯 20, 吐温20, 聚山梨醇酯-20 乳酸钠 乙基己基甘油 "
GENIUS Ultimate Anti-Aging Melting Cleanser,"水 异壬酸异壬酯, 蚕丝油 硅灵, 地美司康, 二甲基硅酮, 二甲硅油, ... 乳油木果脂, 雪亚脂, 乳木果, 乳油木, ... 丁二醇, 1, 3-丁二醇 甘油, 丙三醇 辛酸/癸酸三酸甘油酯, 辛酸/癸酸甘油三酯, ... 棕榈醇, 鲸蜡硬脂醇 PPG-3 苄基醚肉豆蔻酸酯 硬脂酸己六酯, 山梨坦硬脂酸酯 甘油硬脂酸, 硬脂酸甘油酯, 甘油硬脂酸酯 PEG-100 硬脂酸酯 戊二醇, 1, 2-戊二醇 暂无 水解奎藜籽 水解米蛋白 藻提取 四胜肽棕榈酸酯, 棕榈酰四肽-3 棕榈酰低聚肽, 棕榈酰寡肽 乙酰二肽十六烷醇酯, 乙酰基二肽-1 鲸蜡酯 乳清蛋白 水解木薯块茎萃取 乳酸 聚二甲基硅氧烷共聚物, 聚二甲基硅氧烷交联聚合物, ... 辛乙二醇, 辛甘醇, 1, 2-辛二醇 茁霉多糖, 普鲁兰多糖, 出芽短梗孢糖, ... 山梨酸钾, 己二稀酸钾, 己二烯酸钾 氢氧化钠 失水山梨醇月桂酸酯, 山梨坦月桂酸酯 丙烯酸/C10-30烷基丙烯酸聚合物, ... 乳糖 羟乙基纤维素 柠檬油精, 柑橘皮粹取, 苎烯 卡波莫, 卡波姆, 聚羧乙烯, 卡波树脂 己二醇 香茅醇 乙二胺四乙基二钠, 乙酸乙二胺二钠 丁苯基甲基丙醛 聚山梨醇酯 20, 吐温20, 聚山梨醇酯-20 苯甲酸钠, 安息香酸钠 羟基异己基3-环己基甲醛, ... 乙基己基甘油 苯氧乙醇, 苯氧基乙醇, 二苯氧基乙醇 香料, 香水, 香精, 香味 "
GENIUS Ultimate Anti-Aging Foaming Cleanser,"水 甘油, 丙三醇 月桂酰肌氨酸钠 烷基酰胺甜菜硷, 椰油酰胺丙基甜菜碱 月桂醇磺基琥珀酸酯二钠 1, 3-丙二醇 暂无 暂无 覆盆子叶提取 黑茶镳子叶提取, 黑醋栗叶提取 甜杏仁油, 甜扁桃油 月桂酰乳酰乳酸钠 椰酰甘胺酸钠, 椰油酰基甘氨酸钠, ... 椰油酰谷氨酸钠 丝氨酸, 丝胺酸 缬氨酸 异亮氨酸 脯氨酸 苏氨酸, 酥胺酸 组氨酸 苯丙氨酸 尿囊素 精氨酸 天冬氨酸, 天门冬氨酸 吡咯烷酮羧酸 甘氨酸, 左旋甘氨酸, 糖胶, 氨基乙酸, ... 丙氨酸, 丙胺酸 甘草酸钾, 甘草酸二钾盐, 甘草酸二钾 黄原胶, 三仙胶, 山羊胶, 汉生胶 咯烷酮羧酸钠, 钠羟基皮酪烷酮, PCA 钠 乳酸钠 聚山梨醇酯 80, 聚山梨醇酯-80 氯化钠, 食盐 乙二氨四醋酸四钠, 乙二胺四乙酸四钠, ... 乙基己基甘油 苯氧乙醇, 苯氧基乙醇, 二苯氧基乙醇 香料, 香水, 香精, 香味 "
Gentle Rejuvenating Cleanser,"水 椰油酰羟乙磺酸钠, 椰油基羟乙基磺酸钠, ... 甘油硬脂酸SE, 甘油硬脂酸酯 SE 硬脂酸, 18酸, 十八酸, 己基癸醇硬脂酸酯 烷基酰胺甜菜硷, 椰油酰胺丙基甜菜碱 鲸蜡醇, 棕榈醇, 十六醇, 16醇, ... 聚二甲基硅氧烷 PEG-8 白池花籽油酸酯 金缕梅, 金镂梅, 北美金缕梅 暂无 醋酸盐维他命E, 醋酸生育酚酯, 生育酚醋酸酯, ... 月桂酰燕麦氨基酸钠 茶叶提取 苹果粹取物 柠檬, 香橼果皮 橘子, 甜橙, 广西沙柑 熊果叶提取 光果甘草, 甘草, 甘草精 霍霍巴醇, 荷荷芭醇 霍霍巴油酸钾 甘油, 丙三醇 月桂醇乳酰乳酸酯 丁二醇, 1, 3-丁二醇 安息香酸, 苯甲酸 苯氧乙醇, 苯氧基乙醇, 二苯氧基乙醇 辛乙二醇, 辛甘醇, 1, 2-辛二醇 己二醇 氯化钠, 食盐 黄原胶, 三仙胶, 山羊胶, 汉生胶 乙基己基甘油 "
Hydrating Essence Toner,"水 丁二醇, 1, 3-丁二醇 咯烷酮羧酸钠, 钠羟基皮酪烷酮, PCA 钠 北美金缕梅水 暂无 棕榈酰低聚肽, 棕榈酰寡肽 四胜肽棕榈酸酯, 棕榈酰四肽-3 维他命C配糖体, 维生素C醣甘, 维他命C醣甘, ... 库拉索芦荟叶提取 油茶叶提取 母菊花萃取, 德国洋甘菊花萃取 黄瓜果提取 马鞭草提取 醋酸盐维他命E, 醋酸生育酚酯, 生育酚醋酸酯, ... 甘油, 丙三醇 1, 2-己二醇 辛乙二醇, 辛甘醇, 1, 2-辛二醇 卡波莫, 卡波姆, 聚羧乙烯, 卡波树脂 聚山梨醇酯 20, 吐温20, 聚山梨醇酯-20 安息香酸, 苯甲酸 乙二胺四乙基二钠, 乙酸乙二胺二钠 苯氧乙醇, 苯氧基乙醇, 二苯氧基乙醇 香料, 香水, 香精, 香味 "
Vintage Single Extract Essence,"水 1, 3-丙二醇 甘油, 丙三醇 茶叶提取 1, 2-己二醇 乙基己基甘油 "
High Performance Vitamin C Facial Serum,"水 甘油, 丙三醇 戊二醇, 1, 2-戊二醇 丙烯酸/C10-30烷基丙烯酸聚合物, ... 黄原胶, 三仙胶, 山羊胶, 汉生胶 丁二醇, 1, 3-丁二醇 维他命C磷酸镁盐, 维他命C磷酸镁, ... 卡波莫, 卡波姆, 聚羧乙烯, 卡波树脂 藻胶, 藻酸钠, 水解藻胶 甘油丙烯酸/丙烯酸共聚物 海水 小球藻提取 聚山梨醇酯 20, 吐温20, 聚山梨醇酯-20 山梨酸钾, 己二稀酸钾, 己二烯酸钾 鹿角菜胶, 爱尔兰海藻, 爱尔兰苔, 角叉菜, ... 四胜肽棕榈酸酯, 棕榈酰四肽-3 苯甲酸钠, 安息香酸钠 棕榈酰低聚肽, 棕榈酰寡肽 苯甲醇 氢氧化钠 咯烷酮羧酸钠, 钠羟基皮酪烷酮, PCA 钠 尿素, 碳酰二胺 乙二胺四乙基二钠, 乙酸乙二胺二钠 脱氢醋酸, 去水醋酸, 脱氢乙酸 黄瓜果提取 海藻醣, 海藻糖 聚季铵盐-51 光果甘草根提取 丙二醇, 丙烯乙二醇, 1, 2-丙二醇 玻尿酸钠, 透明质酸钠, 玻璃酸钠 三醋精 橙花 蔺花香茅提取 蔺花香茅油 柠檬酸 "
Glycolic Exfoliating & Resurfacing Wipes,"水 甘油聚醚-7 三乙酸酯 聚山梨醇酯 20, 吐温20, 聚山梨醇酯-20 库拉索芦荟叶提取 母菊花萃取, 德国洋甘菊花萃取 黄瓜果提取 人参根提取 茶叶提取 欧洲越桔果提取 糖槭提取 甜橙果提取 香橼果提取 北美金缕梅树皮/叶/嫩枝提取 库拉索芦荟叶汁 尿囊素 薄荷脑, 薄荷醇 醋酸盐维他命E, 醋酸生育酚酯, 生育酚醋酸酯, ... 癸基葡萄糖苷, 癸基葡糖苷 谷氨酸二乙酸四钠 氢氧化钠 柠檬酸 葡糖酸内酯, 内酯型葡糖酸 苯甲酸钠, 安息香酸钠 山梨酸钾, 己二稀酸钾, 己二烯酸钾 苯氧乙醇, 苯氧基乙醇, 二苯氧基乙醇 香料, 香水, 香精, 香味 "
