GENIUS Ultimate Anti-Aging Eye Cream,"Normal","Dry","Combination","Oily"
Regenerative Anti-Aging Moisturizer,"Normal","Dry","Combination","Oily","Sensitive"
Overnight Restorative Cream,"Normal","Dry","Combination","Oily"
GENIUS Ultimate Anti-Aging Melting Cleanser,"Normal","Dry","Combination","Oily"
GENIUS Ultimate Anti-Aging Foaming Cleanser,"Normal","Combination","Oily"
Gentle Rejuvenating Cleanser,"Normal","Dry","Combination","Oily","Sensitive"
Hydrating Essence Toner,"Normal","Dry","Combination","Oily"
Vintage Single Extract Essence,"Normal","Combination","Oily"
High Performance Vitamin C Facial Serum,"Dry","Combination","Oily"
Glycolic Exfoliating & Resurfacing Wipes,"Normal","Dry","Combination","Oily"
Oil Free Facial Lotion,"Normal","Dry","Combination","Oily","Sensitive"
High Performance Continuous Moisture Eye Cream,"Normal","Dry","Combination","Oily"
Skin Love Glow Elixir,"Normal","Dry","Combination","Oily"
Witch Hazel Herbal Extract Toner,"Normal","Dry","Combination","Oily"
Hungarian Water Essence,"Normal","Dry","Combination","Oily"
Creamy Cleansing Foam Moist ,"Normal","Dry","Combination","Oily","Sensitive"
Milky Hydra Balancing Moisturizer ,"Normal","Dry","Combination","Oily"
Cleansing Herb Water,"Normal","Dry","Combination","Oily","Sensitive"
Extra Illuminating Moisture Balm,"Normal","Dry","Combination","Oily"
Lathering Tube Soap,"Normal","Dry","Combination","Oily"
Super Restorative Night Age Spot Correcting Replenishing Cream,"Normal","Dry","Combination","Oily"
Multi-Active Day Cream SPF 20 - All Skin Types,"Normal","Dry","Combination","Oily"
Blue Orchid Face Treatment Oil,"Normal","Dry","Combination","Oily"
Extra-Comfort Toning Lotion,"Normal","Dry","Combination","Oily"
Gentle Foaming Cleanser-Combination or Oily Skin ,"Normal","Combination","Oily"
Santal Face Treatment Oil,"Normal","Dry","Combination","Oily"
Cleansing Milk with Alpine Herbs,"Normal","Dry","Combination","Oily","Sensitive"
Lotus Face Treatment Oil,"Normal","Dry","Combination","Oily"
Beauty Flash Balm,"Normal","Combination","Oily"
Eye Contour Gel,"Normal","Dry","Combination"
Multi-Active Day Cream-Gel - Normal to Combination Skin,"Normal","Dry","Combination","Oily"
UV PLUS Anti-Pollution Sunscreen Multi-Protection Tint SPF 50,"Normal","Dry","Combination","Oily"
Clarifying Lotion 2,"Normal","Combination","Oily"
Take The Day Off Cleansing Balm,"Normal","Dry","Combination","Oily"
Clarifying Lotion 3,"Normal","Dry","Combination","Oily"
Rinse-Off Foaming Cleanser,"Normal","Dry","Combination","Oily"
Repairwear Laser Focus Wrinkle Correcting Eye Cream,"Normal","Dry","Combination","Oily"
Smart Night Custom-Repair Moisturizer - Very Dry to Dry,"Normal","Dry","Combination","Oily"
Take The Day Off Cleansing Oil,"Normal","Dry","Combination","Oily"
Repairwear Anti-Gravity Eye Cream,"Normal","Dry","Combination","Oily"
Redness Solutions Soothing Cleanser,"Normal","Dry","Combination","Oily"
All About Eyes Serum De-Puffing Eye Massage,"Normal","Combination","Oily","Sensitive"
Repairwear Laser Focus Night Line Smoothing Cream for Very Dry to Dry Combination Skin,"Normal","Dry","Combination","Oily","Sensitive"
Broad Spectrum SPF 50 Sunscreen Face Cream,"Normal","Dry","Combination","Sensitive"
Acne Solutions Acne + Line Correcting Serum,"Normal","Dry","Combination","Oily","Sensitive"
Clarifying Lotion 1,"Normal","Dry","Combination","Oily"
Repairwear Laser Focus Night Line Smoothing Cream for Combination Oily to Oily Skin,"Normal","Combination","Oily"
Oil Control Mattifying Moisturizer,"Normal","Dry","Combination","Oily"
Moisture Surge Face Spray,"Normal","Dry","Combination","Oily","Sensitive"
Acne Solutions Cleansing Face and Body Soap,"Normal","Combination","Oily"
Repairwear Uplifting Firming Cream,"Normal","Dry","Combination","Oily"
Moisturizing Lotion,"Normal","Dry","Combination","Oily","Sensitive"
Dramatically Different Moisturizing Cream,"Normal","Dry","Combination","Oily"
Broad Spectrum SPF 21 Moisturizer,"Normal","Dry","Combination","Oily"
Foaming Sonic Facial Soap,"Normal","Dry","Combination","Oily"
Clarifying Lotion 4,"Normal","Combination","Oily"
Even Better Skin Tone Correcting Lotion Broad Spectrum SPF 20,"Normal","Dry","Combination","Oily"
Smart Broad Spectrum SPF 15 Custom-Repair Moisturizer for Very Dry to Dry Skin,"Normal","Dry","Combination","Oily"
Smart Night Custom-Repair Moisturizer -Combination Oily to Oily,"Normal","Dry","Combination","Oily"
Exfoliating Tonic,"Normal","Combination","Oily"
Pore Refining Solutions Stay-Matte Hydrator,"Normal","Dry","Combination","Oily"
Repairwear Uplifting Firming Cream Broad Spectrum SPF 15,"Normal","Dry","Combination","Oily"
Repairwear Sculpting Night Cream,"Normal","Dry","Combination","Oily","Sensitive"
Pore Refining Solutions Correcting Serum,"Normal","Dry","Combination","Oily"
Broad Spectrum SPF 30 Mineral Sunscreen Lotion for Body,"Normal","Combination","Oily"
Repairwear Laser Focus Line Smoothing Cream Broad Spectrum SPF 15 for Combination Oily to Oily Skin,"Normal","Dry","Combination","Oily","Sensitive"
AGE Bright Spot Fader,"Normal","Dry","Combination","Oily"
Capture Totale Multi-Perfection Creme,"Normal","Dry","Combination","Oily"
Sun Drops SPF 50,"Normal","Dry","Combination","Oily","Sensitive"
pores no more® Pore Purifying Cleanser,"Normal","Dry","Combination","Oily"
Hyaluronic Marine Hydration Booster,"Normal","Dry","Combination","Oily"
Dark Spot Sun Defense Broad Spectrum SPF 50,"Normal","Dry","Combination","Oily"
All-In-One Cleanser With Toner,"Normal","Combination","Oily"
Sheer Mineral Sun Spray SPF 50,"Normal","Dry","Combination","Oily","Sensitive"
Clinical Concentrate Radiance Booster ,"Normal","Dry","Combination","Oily"
Color Smart Cleanser & Mask,"Normal","Dry","Combination","Oily"
Double Mousse Gentle Cleansing Foam,"Normal","Dry","Combination","Oily","Sensitive"
Hydraphel Skin Supplement Lotion,"Normal","Dry","Combination","Oily","Sensitive"
Phormula 3-9 Repair Cream,"Normal","Dry","Combination","Oily"
Light Controlling Lotion,"Normal","Dry","Combination","Oily"
Perfectly Clean Multi-Action Foam Cleanser/Purifying Mask ,"Normal","Combination","Oily"
NightWear Plus Anti-Oxidant Night Detox Creme,"Normal","Dry","Combination"
Advanced Time Zone Night Age Reversing Line/Wrinkle Crème,"Normal","Dry","Combination","Oily"
Soft Clean Moisture Rich Foaming Cleanser,"Normal","Dry","Combination","Oily"
Perfectly Clean Multi-Action Toning Lotion/Refiner ,"Normal","Dry","Combination"
Advanced Time Zone Age Reversing Line/Wrinkle Eye Creme,"Normal","Dry","Combination","Oily","Sensitive"
Revitalizing Supreme Global Anti-Aging Eye Balm,"Normal","Combination","Oily"
Advanced Night Micro Cleansing Balm,"Normal","Dry","Combination","Oily","Sensitive"
Liquid Powder Oil Balancing Serum,"Combination","Oily"
Rose Gold Elixir 24K Moisturizing Gel Cream,"Normal","Dry","Combination","Oily"
Weightless Liquid Mineral SPF 30,"Normal","Dry","Combination","Oily"
Crème Ancienne® Soft Cream,"Normal","Dry","Combination","Oily"
Seaberry Skin Nutrition Cleansing Oil,"Normal","Dry","Combination","Oily"
Crème Ancienne® Eye Cream,"Normal","Dry","Combination"
Lotus Youth Preserve Radiance Lotion,"Normal","Dry","Combination","Oily","Sensitive"
Umbrian Clay Mattifying Serum,"Normal","Dry","Combination","Oily"
De-Puffing Under Eye Jade Roller,"Normal","Dry","Combination","Oily","Sensitive"
Salve The Day Multi Balm,"Normal","Dry","Combination","Oily"
Bye Bye Redness Neutralizing Color-Correcting Cream,"Normal","Dry","Combination","Oily"
Double-Duty Face Moisturizer Broad Spectrum SPF 20,"Normal"
Protein Booster Eye Rescue,"Normal","Combination","Oily"
Cool Moisture Body Lotion,"Normal","Dry","Combination","Oily"
